GENE    CHR     START      STOP  NSNPS  NPARAM       N        ZSTAT            P
9829      1  65720133  65881552     28       5  387649        1.677     0.046771
54741     1  65886131  66107242    105      13  387649      0.10792      0.45703
3953      1  65886335  66103176    105      13  387649      0.10792      0.45703
9223      3  65339200  66024511    107      21  387649      0.39068      0.34802
375449    5  65892176  66465426    125      23  387649         1.07       0.1423
346007    6  64429876  66417118     97      15  387649      -1.0092      0.84355
8460      7  65670259  65825438      1       1  387649     0.081577      0.46749
154881    7  66093868  66113964      1       1  387649      0.75744      0.22439
10992    11  65819264  65836382      3       1  387649       1.2926      0.09807
55690    11  65837747  66012218     39       5  387649        2.466     0.006831
64837    11  66024765  66035332      6       2  387649       1.5405     0.061717
81876    11  66036056  66044963      4       2  387649      0.92384      0.17779
254263   11  66045672  66051685      2       1  387649       1.5506     0.060501
10897    11  66052051  66056638      2       1  387649       1.7505     0.040012
256472   11  66059373  66064135      6       3  387649      -1.2403      0.89257
57124    11  66081958  66084515      2       1  387649       0.7572      0.22446
253827   12  65672423  65860687     13       3  387649       1.2465      0.10629
2530     14  65877310  66210839     52       9  387649       1.0164      0.15472
51495    15  65822804  65870693     12       3  387649       1.2313       0.1091
81556    15  65871095  65903627     12       3  387649       1.0232       0.1531
9187     15  65903618  65953334     10       3  387649      0.63444       0.2629
10260    15  65952954  66084631     46       4  387649      0.81017      0.20892
2186     17  65821644  65980494     34       2  387649        5.726   5.1408e-09
284018   17  65987217  65989765      1       1  387649       5.0286   2.4701e-07
3838     17  66031848  66042970      2       1  387649       3.5047   0.00022854
