"","GENE","CHR","START","STOP","ZSTAT","P_placo","P_T2D","P_Alcohol","SYMBOL_T2D","trait_pairs","No_loci","P_placo_bonf"
"1",817,4,114372188,114683083,-0.92021,0.82127,0.53568,0.83042,"CAMK2D","T2D_Alcohol",1,2.46381
"2",222537,6,114376750,114664209,1.6736,0.047106,0.07603,0.89337,"HS3ST5","T2D_Alcohol",1,0.141318
"3",153733,5,114602885,114632528,-0.50492,0.69319,0.65066,0.7457,"CCDC112","T2D_Alcohol",1,2.07957
"4",346007,6,64429876,66417118,-1.0092,0.84355,0.16553,0.7056,"EYS","T2D_Alcohol",2,8.4355
"5",9223,3,65339200,66024509,0.39068,0.34802,0.17159,0.84584,"MAGI1","T2D_Alcohol",2,3.4802
"6",253827,12,65672423,65882024,1.2465,0.10629,0.00045476,0.40876,"MSRB3","T2D_Alcohol",2,1.0629
"7",2530,14,65877310,66210839,1.0164,0.15472,0.0051426,0.9273,"FUT8","T2D_Alcohol",2,1.5472
"8",375449,5,65892176,66465423,1.07,0.1423,0.025836,0.51131,"MAST4","T2D_Alcohol",2,1.423
"9",284018,17,65987217,65989765,5.0286,2.4701e-07,1.7382e-08,0.00038953,"C17orf58","T2D_Alcohol",2,2.4701e-06
"10",64837,11,66024765,66035331,1.5405,0.061717,0.00021645,0.76147,"KLC2","T2D_Alcohol",2,0.61717
"11",10897,11,66052051,66056641,1.7505,0.040012,0.001094,0.46034,"YIF1A","T2D_Alcohol",2,0.40012
"12",57124,11,66081958,66084515,0.7572,0.22446,0.0068403,0.86748,"CD248","T2D_Alcohol",2,2.2446
"13",154881,7,66093868,66276446,0.75744,0.22439,0.37042,0.74107,"KCTD7","T2D_Alcohol",2,2.2439
"14",25814,22,46067678,46241187,0.25963,0.39757,0.96366,0.012764,"ATXN10","T2D_Alcohol",3,1.98785
"15",60313,1,46092976,46153785,1.8703,0.030724,0.00017008,0.41966,"GPBP1L1","T2D_Alcohol",3,0.15362
"16",8202,20,46130601,46285621,0.2178,0.41379,0.022956,0.72634,"NCOA3","T2D_Alcohol",3,2.06895
"17",10951,17,46147414,46178883,2.3735,0.0088092,9.1269e-06,0.29283,"CBX1","T2D_Alcohol",3,0.044046
"18",3652,1,46159996,46216322,2.074,0.01904,0.00012108,0.35608,"IPP","T2D_Alcohol",3,0.0952
